category,case_code,title,party_a_name,party_b_name,base_fault_a,base_fault_b
자동차 대 보행자,보1,"보행자 적색신호 횡단 개시, 적색신호 충격 사고",보행자,자동차,70,30
자동차 대 보행자,보2,"보행자 적색신호 횡단 개시, 적색신호 충격 사고",보행자,자동차,50,50
자동차 대 보행자,보3,"보행자 적색신호 횡단 개시, 녹색(녹색점멸)신호 충격 사고",보행자,자동차,30,70
자동차 대 보행자,보4,"보행자 녹색신호 횡단 개시, 녹색(녹색점멸)신호 충격 사고",보행자,자동차,0,100
자동차 대 보행자,보5,"보행자 녹색신호 횡단 개시, 녹색(녹색점멸)신호 충격 사고",보행자,자동차,0,100
자동차 대 보행자,보6,"보행자 적색신호 횡단 개시, 적색신호 충격 사고",보행자,자동차,40,60
자동차 대 보행자,보7,"보행자 녹색점멸신호 횡단 개시, 적색신호 충격 사고",보행자,자동차,20,80
자동차 대 보행자,보8,"보행자 적색신호 횡단 개시, 적색신호 충격 사고",보행자,자동차,70,30
자동차 대 보행자,보9,"보행자 적색신호 횡단 개시, 녹색신호 충돌 사고",보행자,자동차,20,80
자동차 대 보행자,보10,"보행자 녹색신호 횡단 개시, 녹색신호 충격 사고",보행자,자동차,0,100
자동차 대 보행자,보11,"보행자 녹색(녹색점멸)신호 횡단 개시, 적색신호 충격 사고",보행자,자동차,10,90
자동차 대 보행자,보12,"보행자 녹색점멸신호 횡단 개시, 녹색점멸신호 충격 사고",보행자,자동차,5,95
자동차 대 보행자,보13,보행자 횡단 사고,보행자,자동차,0,100
자동차 대 보행자,보14,보행자 녹색(적색)신호 횡단 중 사고(1),보행자,자동차,10,90
자동차 대 보행자,보15,보행자 녹색(적색)신호 횡단 중 사고(2),보행자,자동차,10,90
자동차 대 보행자,보16,보행자 적색신호 횡단 중 사고,보행자,자동차,50,50
자동차 대 보행자,보17,보행자 녹색(적색)신호 횡단 중 사고,보행자,자동차,10,90
자동차 대 보행자,보18,보행자 적색신호 횡단 중 사고,보행자,자동차,60,40
자동차 대 보행자,보19,보행자 녹색(적색)신호 횡단 중 사고,보행자,자동차,20,80
자동차 대 보행자,보20,직선도로 횡단보도 부근 보행자 횡단 사고,보행자,자동차,20,80
자동차 대 보행자,보21,육교 및 지하도 부근 보행자 횡단 사고,보행자,자동차,40,60
