case_code,modifier_name,change_value
보1,야간·기타 시야장애,5
보1,간선도로,5
보1,정지·후퇴·ㄹ자 보행,5
보1,주택·상점가·학교,-5
보1,집단횡단,-5
보1,어린이·노인·장애인,-5
보1,어린이·노인·장애인보호구역,-15
보1,차의 현저한 과실,-10
보1,차의 중대한 과실,-20
보2,야간·기타 시야장애,5
보2,간선도로,5
보2,주택·상점가·학교,-5
보2,집단횡단,-5
보2,어린이·노인·장애인,-5
보2,어린이·노인·장애인보호구역,-15
보2,차의 현저한 과실,-10
보2,차의 중대한 과실,-20
보3,야간·기타 시야장애,5
보3,간선도로,5
보3,주택·상점가·학교,-5
보3,집단횡단,-5
보3,어린이·노인·장애인,-5
보3,어린이·노인·장애인보호구역,-15
보3,차의 현저한 과실,-10
보3,차의 중대한 과실,-20
보4,야간·기타 시야장애,5
보4,간선도로,5
보4,보행자 급진입,5
보4,주택·상점가·학교,-5
보4,집단횡단,-5
보4,어린이·노인·장애인,-5
보4,어린이·노인·장애인보호구역,-15
보4,차의 현저한 과실,-10
보4,차의 중대한 과실,-20
보5,보행자 급진입,5
보6,야간·기타 시야장애,5
보6,간선도로,5
보6,주택·상점가·학교,-5
보6,집단횡단,-5
보6,보·차도 구분 없음,-5
보6,어린이·노인·장애인,-5
보6,어린이·노인·장애인보호구역,-15
보6,차의 현저한 과실,-10
보6,차의 중대한 과실,-20
보7,야간·기타 시야장애,5
보7,간선도로,5
보7,정지·후퇴·ㄹ자 보행,5
보7,보행자 급진입,5
보7,주택·상점가·학교,-5
보7,집단횡단,-5
보7,보·차도 구분 없음,-5
보7,어린이·노인·장애인,-5
보7,어린이·노인·장애인보호구역,-15
보7,차의 현저한 과실,-10
보7,차의 중대한 과실,-20
보8,야간·기타 시야장애,5
보8,간선도로,5
보8,정지·후퇴·ㄹ자 보행,5
보8,보행자 급진입,5
보8,주택·상점가·학교,-5
보8,집단횡단,-5
보8,어린이·노인·장애인,-5
보8,어린이·노인·장애인보호구역,-15
보8,차의 현저한 과실,-10
보8,차의 중대한 과실,-20
보9,주택·상점가·학교,-5
보9,집단횡단,-5
보9,어린이·노인·장애인,-5
보9,어린이·노인·장애인보호구역,-15
보9,차의 현저한 과실,-10
보9,차의 중대한 과실,-20
보10,보행자 급진입,5
보11,야간·기타 시야장애,5
보11,간선도로,5
보11,정지·후퇴·ㄹ자 보행,5
보11,보행자 급진입,5
보11,주택·상점가·학교,-5
보11,집단횡단,-5
보11,보·차도 구분 없음,-5
보11,어린이·노인·장애인,-5
보11,어린이·노인·장애인보호구역,-15
보11,차의 현저한 과실,-10
보11,차의 중대한 과실,-20
보12,야간·기타 시야장애,5
보12,간선도로,5
보12,정지·후퇴·ㄹ자 보행,5
보12,보행자 급진입,5
보12,주택·상점가·학교,-5
보12,집단횡단,-5
보12,보·차도 구분 없음,-5
보12,어린이·노인·장애인,-5
보12,어린이·노인·장애인보호구역,-15
보12,차의 현저한 과실,-10
보12,차의 중대한 과실,-20
보13,정지·후퇴·ㄹ자 보행,10
보13,야간·기타 시야장애,15
보13,간선도로,15
보13,주택·상점가·학교,-5
보13,집단횡단,-5
보13,보·차도 구분 없음(중앙선이 있음),-5
보13,보·차도 구분 없음(중앙선이 없음),-15
보13,어린이·노인·장애인,-5
보13,노인·장애인보호구역,-15
보13,어린이 보호구역(신호기 미설치 횡단보도 (또는 정지선이 설치된 경우)),-30
보13,차의 현저한 과실,-10
보13,차의 중대한 과실,-20
보14,야간·기타 시야장애,10
보14,간선도로,10
보14,정지·후퇴·ㄹ자 보행,10
보14,횡단금지규제 있음,10
보14,주택·상점가·학교,-5
보14,집단횡단,-5
보14,보·차도 구분 없음,-5
보14,어린이·노인·장애인,-5
보14,어린이·노인·장애인보호구역,-15
보14,차의 현저한 과실,-10
보14,차의 중대한 과실,-20
보15,야간·기타 시야장애,10
보15,간선도로,10
보15,정지·후퇴·ㄹ자 보행,10
보15,횡단금지규제 있음,10
보15,주택·상점가·학교,-5
보15,집단횡단,-5
보15,보·차도 구분 없음,-5
보15,어린이·노인·장애인,-5
보15,어린이·노인·장애인보호구역,-15
보15,차의 현저한 과실,-10
보15,차의 중대한 과실,-20
보16,야간·기타 시야장애,10
보16,간선도로,10
보16,정지·후퇴·ㄹ자 보행,10
보16,횡단금지규제 있음,20
보16,주택·상점가·학교,-5
보16,집단횡단,-5
보16,보·차도 구분 없음,-5
보16,어린이·노인·장애인,-5
보16,어린이·노인·장애인보호구역,-15
보16,차의 현저한 과실,-10
보16,차의 중대한 과실,-20
보17,보행자 급진입,5
보17,야간·기타 시야장애,10
보17,간선도로,10
보17,정지·후퇴·ㄹ자 보행,10
보17,횡단금지규제 있음,10
보17,주택·상점가·학교,-5
보17,집단횡단,-5
보17,보·차도 구분 없음,-5
보17,어린이·노인·장애인,-5
보17,어린이·노인·장애인보호구역,-15
보17,차의 현저한 과실,-10
보17,차의 중대한 과실,-20
보18,보행자 급진입,5
보18,야간·기타 시야장애,10
보18,간선도로,10
보18,정지·후퇴·ㄹ자 보행,10
보18,횡단금지규제 있음,20
보18,주택·상점가·학교,-5
보18,집단횡단,-5
보18,보·차도 구분 없음,-5
보18,어린이·노인·장애인,-5
보18,어린이·노인·장애인보호구역,-15
보18,차의 현저한 과실,-10
보18,차의 중대한 과실,-20
보19,보행자 급진입,5
보19,야간·기타 시야장애,10
보19,간선도로,10
보19,정지·후퇴·ㄹ자 보행,10
보19,횡단금지규제 있음,10
보19,주택·상점가·학교,-5
보19,집단횡단,-5
보19,보·차도 구분 없음,-5
보19,어린이·노인·장애인,-5
보19,어린이·노인·장애인보호구역,-15
보19,차의 현저한 과실,-10
보19,차의 중대한 과실,-20
보20,야간·기타 시야장애,10
보20,간선도로,10
보20,정지·후퇴·ㄹ자 보행,10
보20,횡단금지규제 있음,10
보20,주택·상점가·학교,-5
보20,집단횡단,-5
보20,보·차도 구분 없음(중앙선이 있음),-5
보20,보·차도 구분 없음(중앙선이 없음),-15
보20,정지선 안쪽 지점,-10
보20,어린이·노인·장애인,-5
보20,노인·장애인보호구역,-15
보20,어린이 보호구역(신호기 미설치 횡단보도 (또는 정지선이 설치된 경우)),-30
보20,차의 현저한 과실,-10
보20,차의 중대한 과실,-20
보21,야간·기타 시야장애,10
보21,간선도로,10
보21,정지·후퇴·ㄹ자 보행,10
보21,횡단금지규제 있음,10
보21,주택·상점가·학교,-5
보21,집단횡단,-5
보21,보·차도 구분 없음,-5
보21,어린이·노인·장애인,-5
보21,어린이·노인·장애인보호구역,-15
보21,차의 현저한 과실,-10
보21,차의 중대한 과실,-20
보22,보행자 급진입,5
보22,야간·기타 시야장애,10
보22,간선도로,10
보22,정지·후퇴·ㄹ자 보행,10
보22,대각선 횡단,10
보22,횡단금지규제 있음,10
보22,주택·상점가·학교,-5
보22,집단횡단,-5
보22,보·차도 구분 없음(중앙선이 있음),-5
보22,보·차도 구분 없음(중앙선이 없음),-15
보22,어린이·노인·장애인,-5
보22,어린이·노인·장애인보호구역,-15
보22,차의 현저한 과실,-10
보22,차의 중대한 과실,-20
보23,보행자 급진입,5
보23,야간·기타 시야장애,10
보23,간선도로,10
보23,정지·후퇴·ㄹ자 보행,10
보23,횡단금지규제 있음,10
보23,주택·상점가·학교,-5
보23,집단횡단,-5
보23,보·차도 구분없음(중앙선이 없음),-15
보23,어린이·노인·장애인,-5
보23,어린이·노인·장애인보호구역,-15
보23,차의 현저한 과실,-10
보23,차의 중대한 과실,-20
보24,차량진출입 허용구간,5
보25,간선도로,5
보25,정지·후퇴·ㄹ자 보행,5
보25,야간·기타 시야장애,10
보25,주택·상점가·학교,-5
보25,집단보행,-5
보25,어린이·노인·장애인,-5
보25,어린이·노인·장애인보호구역,-15
보25,차의 현저한 과실,-10
보25,차의 중대한 과실,-20
보26,야간·기타 시야장애,10
보26,정지·후퇴·ㄹ자 보행,10
보26,간선도로,10
보26,주택·상점가·학교,-5
보26,집단보행,-5
보26,어린이·노인·장애인,-5
보26,어린이·노인·장애인보호구역,-15
보26,차의 현저한 과실,-10
보26,차의 중대한 과실,-20
보28,야간·기타 시야장애,10
보28,간선도로,10
보28,ㄹ자 보행,10
보28,주택·상점가·학교,-5
보28,집단보행,-5
보28,어린이·노인·장애인,-5
보28,어린이·노인·장애인보호구역,-15
보28,차의 현저한 과실,-10
보28,차의 중대한 과실,-20
보30,간선도로,10
보30,야간·기타 시야장애,20
보30,주택·상점가·학교,-10
보30,주·정차 후 출발,-10
보30,밝은 장소,-10
보30,어린이·노인·장애인,-5
보30,어린이·노인·장애인보호구역,-15
보30,차의 현저한 과실,-10
보30,차의 중대한 과실,-20
보32,보·차도 구분이 있는 차도,5
보32,야간·기타 시야장애,10
보32,경음기를 울린 경우,10
보32,주택·상점가·학교,-5
보32,후진 개시 전 후방에 있던 경우,-10
보32,어린이·노인·장애인,-5
보32,어린이·노인·장애인보호구역,-15
보32,차의 현저한 과실,-10
보32,차의 중대한 과실,-20
