word,count
차가,165653
사고,106041
차로,61898
잘못,53836
상대,47898
블박,44694
자전거,41435
잘못이,40817
차를,38137
오토바이,36775
보험,35888
블박차,34672
사람,33834
사람이,33702
운전자,32662
갑자기,31838
깜빡이,30593
블럭,30262
보험사,29606
자동차,27875
만원,26814
불법,25802
차는,25420
오토바이가,25235
보행자,23400
없다,23300
있으면,23103
변호사,22511
뒤에서,22189
가는,22126
신호,21818
가는데,20355
아이,19460
차들이,19416
변호사님,19342
소송,18758
블박차가,18640
브레이크,18553
경찰,18275
속도,18172
보험사가,17819
피할,17363
버스,17336
상대가,17320
앞차가,17180
좌회전,17150
보험사에서,17028
어린이,16869
차량,16516
차도,16298
트럭이,16087
택시,16024
우회전,15732
블랙박스,15705
직진,15434
속도가,15083
경찰은,15071
속도를,14758
와서,14747
녹색,14532
보험사는,14492
사건,14274
서로,14085
운전,14080
횡단보도,14074
경우,14046
오른쪽,13850
지금은,13802
빨간,13761
앞차,13742
따라서,13633
택시가,13629
차에,13543
거예요,13537
경찰에서,13322
황색,13203
버스가,12989
가요,12844
있었습니다,12825
옆으로,12807
그래요,12776
에서,12755
보여요,12693
들어온,12680
거기,12673
있고요,12593
차대,12576
얼마,12570
저런,12527
갑니다,12515
언제,12439
했는데,12435
같은데,12424
사고는,12415
제대로,12294
것을,12243
때도,12236
보이죠,12196
잠깐,12187
우선,12164
항상,12159
잘못이다,12129
으로,12119
처음에,12058
때요,12037
있다는,12033
없고,11980
도로,11943
가지,11882
같은데요,11873
보여,11868
되면,11865
판결,11818
아니다,11810
좋은,11791
경찰이,11780
뒤로,11772
많은,11743
했습니다,11725
그렇지,11699
오히려,11688
깜빡,11625
여러분,11620
되잖아요,11512
경찰에,11488
앞에서,11442
살짝,11431
마세요,11246
백대,11223
위해서,11193
트럭,11189
당연히,11182
결과,11089
따라,11034
한테,10929
중앙선,10786
운전자가,10735
말고,10684
교차로,10602
나한테,10599
되어,10572
아닙니다,10547
않은,10537
저게,10530
오늘,10524
있다고,10511
멈출,10507
멈춰,10478
볼까요,10440
키고,10417
있습니다,10391
범칙금,10384
있어요,10362
나도,10195
그대로,10183
아닌,10147
있었는데,10137
우리가,10133
뭐라,10015
밤에,10005
있구요,10003
앞을,9997
그러면은,9987
정도로,9975
천만,9967
위반,9960
주세요,9923
사고로,9898
거리가,9884
이에요,9877
쪽으로,9870
어차피,9854
아마,9845
없죠,9812
보는,9790
시속,9742
하다가,9739
충분히,9672
교통,9666
어제,9612
아직까지,9611
받을,9603
자외선,9589
신호위반,9589
그것은,9473
무죄,9470
나오는,9441
소리,9425
완전히,9402
직접,9394
이것은,9383
벌금,9319
사고가,9309
상대는,9298
들어올,9289
과실,9289
대한,9280
지난,9272
들어갈,9167
내지,9140
이쪽으로,9087
텐데,9082
박차,9081
분들,9074
수가,9021
인데,9019
여기가,9014
받고,9006
아니죠,8983
다만,8891
하세요,8882
아니고요,8851
처음,8839
의견입니다,8833
자기,8810
부터,8807
없을,8783
분들이,8692
가능성이,8636
저기서,8632
저차,8606
사고를,8602
모르겠어요,8578
똑같은,8560
신호가,8524
형사,8517
않아요,8511
거는,8495
보내,8488
있지만,8417
아무것도,8394
있었을까요,8385
빠르게,8363
자전거가,8325
영상을,8296
보일,8279
거기에,8260
주고,8226
하겠습니다,8226
시간이,8206
엄청,8177
있던,8149
경우도,8149
오른쪽으로,8129
안돼요,8100
아니야,8077
돼요,8057
사고에,8045
여러분들이,8043
들이,7987
판사가,7983
조차,7978
시간,7923
놓고,7886
겁니다,7880
인데요,7870
오고,7840
보통,7834
보일까요,7813
있다가,7783
달라고,7778
법원에서,7716
본인이,7713
왼쪽,7708
잠시,7701
처벌,7663
차례,7631
일반,7580
보험사에서는,7577
처리,7564
벌점,7559
절대,7491
보이는데,7480
보면은,7442
번째,7434
함께,7426
길이,7417
동안,7402
아예,7378
분은,7374
보면서,7366
상당히,7355
경우는,7346
봤어요,7345
판결이,7339
빵이,7337
사람은,7333
분들은,7328
거죠,7328
결국,7303
주는,7267
나온,7260
그러고,7256
대로,7242
원래,7241
되는데요,7235
없으면,7235
건가요,7235
이래요,7225
뭔가,7224
뭐라고,7196
모든,7172
여기까지,7153
좋아서,7144
있지,7142
거지,7139
중요한,7119
있는지,7116
그래야,7091
치료,7089
피해,7084
그다음에,7074
경찰의,7050
병원에,7044
조사,7043
봅니다,7011
급제동,7004
있네,6985
그럽니다,6969
고속도로,6942
전부,6898
요렇게,6897
나요,6865
봐요,6862
혼자,6860
생각합니다,6844
전동,6816
차에서,6809
비상등,6806
들어오는,6785
해도,6763
있습니까,6758
대인,6747
이라고,6739
들어가는데,6732
올려,6722
문제,6720
됐어요,6701
이분이,6696
이라는,6680
사실,6678
보이잖아요,6665
에요,6665
아무,6660
똑바로,6650
그랬어요,6649
오른쪽에,6647
있었다,6647
블박차는,6621
일부러,6592
얘기를,6589
안전거리,6577
법원에,6569
가보겠습니다,6563
그런데요,6541
그렇습니다,6524
운전자는,6511
보이지,6486
한문철의,6443
있어야,6420
곧바로,6418
보인다,6417
이제는,6401
왔어요,6364
잘못이라는,6353
경우에,6351
있었던,6348
유턴,6292
들어서,6288
이다,6288
써야,6287
오토바이는,6287
잖아요,6249
못한,6249
한다,6233
쪽에,6226
눈에,6225
그러지,6211
처음에는,6208
하면은,6185
여러,6183
불러,6175
교통사고,6174
소리가,6161
들어가,6153
요거는,6148
나서,6141
그것도,6137
약간,6134
의견,6132
하나도,6118
분도,6116
때가,6112
아무리,6111
제발,6109
아냐,6108
하는데요,6100
이쪽,6089
하려고,6080
방송,6078
갔어요,6055
걸로,6053
도대체,6050
어서,6037
아닌가요,6031
그럴까요,6005
없잖아요,5991
차의,5979
싶습니다,5974
영상이,5973
켜고,5964
가해,5950
밑에,5935
받아,5911
들어오면,5910
똑같이,5890
가능성도,5876
차량이,5873
너무나,5861
판사,5842
특히,5837
후방,5830
가끔,5828
사망,5828
책임,5825
어이,5802
매우,5786
입니다,5780
넘어,5779
쳐도,5756
들어가는,5749
아니냐,5746
메타,5737
아유,5735
위한,5733
한문철,5729
전혀,5714
순간,5701
공간이,5683
다음,5655
검사가,5653
자기가,5638
나를,5637
자차,5634
되니까,5634
없는데,5626
잘못한,5618
잘못했다,5617
접수,5616
제한속도,5611
같다,5593
말이,5593
대형,5591
상태에서,5589
무단횡단,5587
다친,5574
나오면,5570
되게,5568
쓰면,5564
그거는,5561
보조,5554
된다는,5541
과실이,5538
찾아,5531
자동차가,5530
넓은,5529
경우가,5525
고맙습니다,5524
옆에서,5518
보자,5512
상대로,5493
식으로,5477
보험이,5471
차이가,5466
안에,5460
사람들이,5452
요즘,5426
빵빵,5421
뺑소니,5413
받은,5409
일반적으로,5401
모두,5399
얘기합니다,5397
애들이,5395
문제가,5387
훨씬,5384
어디서,5380
신호등이,5368
때까지,5353
쪽에서,5351
분심이,5345
끝까지,5324
보행자가,5323
안전,5323
없다는,5312
키로,5300
방법이,5298
됐을까요,5296
없어서,5290
주차,5283
죄송합니다,5280
달라,5274
다행히,5272
손해,5246
내려,5244
지난번에,5240
내려서,5201
나와요,5199
있겠죠,5185
가면서,5169
지나갈,5168
분이,5168
뒤를,5167
되고요,5157
가도,5151
하니까,5140
왜냐하면,5124
생각,5122
했죠,5122
그때는,5108
뭐예요,5107
신호에,5106
뒤차가,5104
이거요,5104
치료비,5098
멀리,5079
쓰고,5077
나왔어요,5058
재판,5056
건데요,5053
오토,5048
그죠,5032
만일,5027
정지,5015
됐습니다,5014
보세요,5009
아니면은,5006
역시,5000
지나가는,4999
나왔습니다,4995
여기서요,4992
자동,4982
없다고,4965
구요,4956
저앞에,4953
